age,gender,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,mental_health_rating,exercise_frequency,diet_quality,internet_quality,exam_score,academic_risk_level,recommendations
23,Female,0.0,1.2,1.1,85.0,8.0,8,6,Fair,Average,56.2,High Risk,['Increase daily study hours to at least 2-3 hours.']
20,Female,6.9,2.8,2.3,97.3,4.6,8,6,Good,Average,100.0,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
21,Male,1.4,3.1,1.3,94.8,8.0,1,1,Poor,Poor,34.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
23,Female,1.0,3.9,1.0,71.0,9.2,1,4,Poor,Good,26.8,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
19,Female,5.0,4.4,0.5,90.9,4.9,1,3,Fair,Good,66.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
24,Male,7.2,1.3,0.0,82.9,7.4,4,1,Fair,Average,100.0,Low Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
21,Female,5.6,1.5,1.4,85.8,6.5,4,2,Good,Poor,89.8,Low Risk,"['Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
21,Female,4.3,1.0,2.0,77.7,4.6,8,0,Fair,Average,72.6,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
23,Female,4.4,2.2,1.7,100.0,7.1,1,3,Good,Good,78.9,Medium Risk,['Focus on mental well-being and seek support if needed.']
18,Female,4.8,3.1,1.3,95.4,7.5,10,5,Good,Good,100.0,Low Risk,['Reduce social media usage to improve focus.']
19,Female,4.6,3.7,0.8,77.6,5.8,3,1,Fair,Good,63.3,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
23,Male,3.9,2.4,2.5,71.7,7.9,1,2,Fair,Average,74.4,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
19,Female,3.7,2.1,0.4,81.1,4.5,9,1,Fair,Good,76.9,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
19,Female,3.4,2.7,2.7,89.3,4.7,10,4,Fair,Good,75.8,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
24,Male,2.4,1.5,0.7,87.4,6.7,9,6,Poor,Average,78.9,Medium Risk,['Improve diet quality to support better academic performance.']
21,Male,3.1,5.0,1.0,97.5,6.5,7,6,Good,Average,74.0,Medium Risk,['Reduce social media usage to improve focus.']
20,Male,1.0,0.6,0.2,92.9,5.6,8,3,Poor,Poor,55.2,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
24,Female,3.4,2.7,1.2,94.7,7.5,1,0,Poor,Average,70.8,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
24,Other,2.0,4.9,2.9,88.3,7.1,5,2,Good,Good,43.9,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
19,Male,1.8,2.5,2.4,71.1,7.5,2,1,Fair,Average,45.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
22,Female,3.8,2.3,2.9,83.0,6.4,1,3,Good,Good,58.5,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
21,Male,5.6,2.1,2.4,95.6,7.2,3,1,Fair,Good,82.5,Low Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
18,Other,4.9,2.3,0.6,84.5,6.0,7,3,Fair,Average,98.7,Low Risk,['Maintain current positive study and lifestyle habits.']
24,Female,1.1,4.1,1.4,90.0,9.0,1,6,Fair,Good,43.7,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
20,Female,2.0,0.0,0.9,81.8,5.5,2,4,Fair,Average,54.9,High Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
22,Male,4.9,4.3,3.3,74.7,9.0,2,1,Fair,Average,69.9,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
22,Male,2.0,0.8,0.5,83.8,6.5,4,4,Good,Poor,73.5,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
